idsensore,data,valore,stato
5504,2026-02-26T00:00:00.000,52.4,VA
5507,2026-02-26T00:00:00.000,-9999,NA
5517,2026-02-26T00:00:00.000,46.1,VA
5520,2026-02-26T00:00:00.000,17.7,VA
5531,2026-02-26T00:00:00.000,33.8,VA
5532,2026-02-26T00:00:00.000,60.8,VA
5534,2026-02-26T00:00:00.000,48.8,VA
5542,2026-02-26T00:00:00.000,48.1,VA
5545,2026-02-26T00:00:00.000,41.0,VA
5547,2026-02-26T00:00:00.000,30.0,VA
5548,2026-02-26T00:00:00.000,15.3,VA
5549,2026-02-26T00:00:00.000,39.8,VA
5551,2026-02-26T00:00:00.000,41.8,VA
5554,2026-02-26T00:00:00.000,22.5,VA
5609,2026-02-26T00:00:00.000,55.3,VA
5707,2026-02-26T00:00:00.000,3.4,VA
5710,2026-02-26T00:00:00.000,5.4,VA
5717,2026-02-26T00:00:00.000,16.5,VA
5721,2026-02-26T00:00:00.000,19.5,VA
5725,2026-02-26T00:00:00.000,39.1,VA
6908,2026-02-26T00:00:00.000,50,VA
6910,2026-02-26T00:00:00.000,54,VA
6912,2026-02-26T00:00:00.000,54,VA
6956,2026-02-26T00:00:00.000,38,VA
9877,2026-02-26T00:00:00.000,51.5,VA
9882,2026-02-26T00:00:00.000,2.9,VA
9890,2026-02-26T00:00:00.000,57,VA
9999,2026-02-26T00:00:00.000,45.8,VA
10273,2026-02-26T00:00:00.000,46,VA
10279,2026-02-26T00:00:00.000,31.4,VA
10282,2026-02-26T00:00:00.000,43.2,VA
10283,2026-02-26T00:00:00.000,32,VA
10320,2026-02-26T00:00:00.000,45,VA
10352,2026-02-26T00:00:00.000,32,VA
10396,2026-02-26T00:00:00.000,45,VA
17122,2026-02-26T00:00:00.000,32,VA
17286,2026-02-26T00:00:00.000,48.5,VA
17288,2026-02-26T00:00:00.000,1.7,VA
17290,2026-02-26T00:00:00.000,42,VA
20358,2026-02-26T00:00:00.000,38,VA
20429,2026-02-26T00:00:00.000,57,VA
20529,2026-02-26T00:00:00.000,37,VA
20596,2026-02-26T00:00:00.000,20,VA
20772,2026-02-26T00:00:00.000,-9999,NA
20773,2026-02-26T00:00:00.000,-9999,NA
5504,2026-02-26T01:00:00.000,53.7,VA
5507,2026-02-26T01:00:00.000,-9999,NA
5517,2026-02-26T01:00:00.000,46.7,VA
5520,2026-02-26T01:00:00.000,19.5,VA
5531,2026-02-26T01:00:00.000,32.6,VA
5532,2026-02-26T01:00:00.000,63.2,VA
5534,2026-02-26T01:00:00.000,50.2,VA
5542,2026-02-26T01:00:00.000,53.1,VA
5545,2026-02-26T01:00:00.000,36.1,VA
5547,2026-02-26T01:00:00.000,25.7,VA
5548,2026-02-26T01:00:00.000,20.6,VA
5549,2026-02-26T01:00:00.000,35.8,VA
5551,2026-02-26T01:00:00.000,40.9,VA
5554,2026-02-26T01:00:00.000,20.7,VA
5609,2026-02-26T01:00:00.000,52.6,VA
5707,2026-02-26T01:00:00.000,1.8,VA
5710,2026-02-26T01:00:00.000,5.6,VA
5717,2026-02-26T01:00:00.000,12.5,VA
5721,2026-02-26T01:00:00.000,19.8,VA
5725,2026-02-26T01:00:00.000,42.5,VA
9877,2026-02-26T01:00:00.000,49.4,VA
9882,2026-02-26T01:00:00.000,2.4,VA
9999,2026-02-26T01:00:00.000,42.8,VA
10279,2026-02-26T01:00:00.000,33.8,VA
10282,2026-02-26T01:00:00.000,39.3,VA
17286,2026-02-26T01:00:00.000,44.1,VA
17288,2026-02-26T01:00:00.000,1.6,VA
5504,2026-02-26T02:00:00.000,57.8,VA
5507,2026-02-26T02:00:00.000,-9999,NA
5517,2026-02-26T02:00:00.000,48.0,VA
5520,2026-02-26T02:00:00.000,24.5,VA
5531,2026-02-26T02:00:00.000,35.9,VA
5532,2026-02-26T02:00:00.000,58.0,VA
5534,2026-02-26T02:00:00.000,53.0,VA
5542,2026-02-26T02:00:00.000,48.9,VA
5545,2026-02-26T02:00:00.000,31.1,VA
5547,2026-02-26T02:00:00.000,24.1,VA
5548,2026-02-26T02:00:00.000,22.5,VA
5549,2026-02-26T02:00:00.000,36.0,VA
5551,2026-02-26T02:00:00.000,40.9,VA
5554,2026-02-26T02:00:00.000,25.9,VA
5609,2026-02-26T02:00:00.000,41.5,VA
5707,2026-02-26T02:00:00.000,0.5,VA
5710,2026-02-26T02:00:00.000,5.4,VA
5717,2026-02-26T02:00:00.000,3.4,VA
5721,2026-02-26T02:00:00.000,22.9,VA
5725,2026-02-26T02:00:00.000,41.2,VA
9877,2026-02-26T02:00:00.000,44.2,VA
9882,2026-02-26T02:00:00.000,2.6,VA
9999,2026-02-26T02:00:00.000,38.7,VA
10279,2026-02-26T02:00:00.000,39.9,VA
10282,2026-02-26T02:00:00.000,30.4,VA
17286,2026-02-26T02:00:00.000,38.9,VA
17288,2026-02-26T02:00:00.000,1.4,VA
5504,2026-02-26T03:00:00.000,56.8,VA
5507,2026-02-26T03:00:00.000,-9999,NA
5517,2026-02-26T03:00:00.000,49.0,VA
5520,2026-02-26T03:00:00.000,25.2,VA
5531,2026-02-26T03:00:00.000,43.6,VA
5532,2026-02-26T03:00:00.000,53.0,VA
5534,2026-02-26T03:00:00.000,46.5,VA
5542,2026-02-26T03:00:00.000,33.5,VA
5545,2026-02-26T03:00:00.000,27.5,VA
5547,2026-02-26T03:00:00.000,21.9,VA
5548,2026-02-26T03:00:00.000,12.3,VA
5549,2026-02-26T03:00:00.000,33.6,VA
5551,2026-02-26T03:00:00.000,50.1,VA
5554,2026-02-26T03:00:00.000,30.9,VA
5609,2026-02-26T03:00:00.000,40.1,VA
5707,2026-02-26T03:00:00.000,1.4,VA
5710,2026-02-26T03:00:00.000,4.9,VA
5717,2026-02-26T03:00:00.000,1.8,VA
5721,2026-02-26T03:00:00.000,19.3,VA
5725,2026-02-26T03:00:00.000,28.8,VA
9877,2026-02-26T03:00:00.000,38.5,VA
9882,2026-02-26T03:00:00.000,2.2,VA
9999,2026-02-26T03:00:00.000,32.0,VA
10279,2026-02-26T03:00:00.000,51.2,VA
10282,2026-02-26T03:00:00.000,10.6,VA
17286,2026-02-26T03:00:00.000,35.2,VA
17288,2026-02-26T03:00:00.000,1.6,VA
5504,2026-02-26T04:00:00.000,50.4,VA
5507,2026-02-26T04:00:00.000,-9999,NA
5517,2026-02-26T04:00:00.000,42.9,VA
5520,2026-02-26T04:00:00.000,27.6,VA
5531,2026-02-26T04:00:00.000,57.6,VA
5532,2026-02-26T04:00:00.000,48.0,VA
5534,2026-02-26T04:00:00.000,45.7,VA
5542,2026-02-26T04:00:00.000,39.3,VA
5545,2026-02-26T04:00:00.000,26.5,VA
5547,2026-02-26T04:00:00.000,20.1,VA
5548,2026-02-26T04:00:00.000,10.7,VA
5549,2026-02-26T04:00:00.000,35.6,VA
5551,2026-02-26T04:00:00.000,55.0,VA
5554,2026-02-26T04:00:00.000,26.0,VA
5609,2026-02-26T04:00:00.000,34.3,VA
5707,2026-02-26T04:00:00.000,0.3,VA
5710,2026-02-26T04:00:00.000,5.0,VA
5717,2026-02-26T04:00:00.000,1.1,VA
5721,2026-02-26T04:00:00.000,14.9,VA
5725,2026-02-26T04:00:00.000,13.9,VA
9877,2026-02-26T04:00:00.000,32.7,VA
9882,2026-02-26T04:00:00.000,2.0,VA
9999,2026-02-26T04:00:00.000,27.4,VA
10279,2026-02-26T04:00:00.000,50.1,VA
10282,2026-02-26T04:00:00.000,10.3,VA
17286,2026-02-26T04:00:00.000,27.4,VA
17288,2026-02-26T04:00:00.000,1.8,VA
5504,2026-02-26T05:00:00.000,48.5,VA
5507,2026-02-26T05:00:00.000,-9999,NA
5517,2026-02-26T05:00:00.000,35.4,VA
5520,2026-02-26T05:00:00.000,26.7,VA
5531,2026-02-26T05:00:00.000,42.6,VA
5532,2026-02-26T05:00:00.000,44.2,VA
5534,2026-02-26T05:00:00.000,39.8,VA
5542,2026-02-26T05:00:00.000,43.9,VA
5545,2026-02-26T05:00:00.000,23.5,VA
5547,2026-02-26T05:00:00.000,18.3,VA
5548,2026-02-26T05:00:00.000,11.7,VA
5549,2026-02-26T05:00:00.000,35.4,VA
5551,2026-02-26T05:00:00.000,44.8,VA
5554,2026-02-26T05:00:00.000,19.2,VA
5609,2026-02-26T05:00:00.000,34.4,VA
5707,2026-02-26T05:00:00.000,0.3,VA
5710,2026-02-26T05:00:00.000,4.8,VA
5717,2026-02-26T05:00:00.000,1.2,VA
5721,2026-02-26T05:00:00.000,23.8,VA
5725,2026-02-26T05:00:00.000,25.3,VA
9877,2026-02-26T05:00:00.000,29.5,VA
9882,2026-02-26T05:00:00.000,1.8,VA
9999,2026-02-26T05:00:00.000,27.3,VA
10279,2026-02-26T05:00:00.000,51.8,VA
10282,2026-02-26T05:00:00.000,4.6,VA
17286,2026-02-26T05:00:00.000,23.2,VA
17288,2026-02-26T05:00:00.000,1.7,VA
5504,2026-02-26T06:00:00.000,42.0,VA
5507,2026-02-26T06:00:00.000,-9999,NA
5517,2026-02-26T06:00:00.000,35.7,VA
5520,2026-02-26T06:00:00.000,23.9,VA
5531,2026-02-26T06:00:00.000,49.7,VA
5532,2026-02-26T06:00:00.000,42.6,VA
5534,2026-02-26T06:00:00.000,39.8,VA
5542,2026-02-26T06:00:00.000,42.4,VA
5545,2026-02-26T06:00:00.000,24.7,VA
5547,2026-02-26T06:00:00.000,17.0,VA
5548,2026-02-26T06:00:00.000,20.6,VA
5549,2026-02-26T06:00:00.000,35.8,VA
5551,2026-02-26T06:00:00.000,50.6,VA
5554,2026-02-26T06:00:00.000,19.6,VA
5609,2026-02-26T06:00:00.000,42.5,VA
5707,2026-02-26T06:00:00.000,0.2,VA
5710,2026-02-26T06:00:00.000,4.7,VA
5717,2026-02-26T06:00:00.000,1.4,VA
5721,2026-02-26T06:00:00.000,17.1,VA
5725,2026-02-26T06:00:00.000,11.1,VA
9877,2026-02-26T06:00:00.000,26.2,VA
9882,2026-02-26T06:00:00.000,1.8,VA
9999,2026-02-26T06:00:00.000,27.2,VA
10279,2026-02-26T06:00:00.000,53.4,VA
10282,2026-02-26T06:00:00.000,3.3,VA
17286,2026-02-26T06:00:00.000,23.7,VA
17288,2026-02-26T06:00:00.000,1.9,VA
5504,2026-02-26T07:00:00.000,42.7,VA
5507,2026-02-26T07:00:00.000,-9999,NA
