idsensore,nometiposensore,unitamisura,idstazione,nomestazione,quota,provincia,comune,lat,lng
9882,Ozono,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,45.57411700,9.26380800
5545,Biossido di Azoto,µg/m³,542,Meda v. Gagarin,222,MB,Meda,45.66099200,9.16022500
9877,Biossido di Azoto,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,45.57411700,9.26380800
17290,PM10 (SM2005),µg/m³,1374,Monza Parco,181,MB,Monza,45.60307200,9.27615600
17286,Biossido di Azoto,µg/m³,1374,Monza Parco,181,MB,Monza,45.60307200,9.27615600
17288,Ozono,µg/m³,1374,Monza Parco,181,MB,Monza,45.60307200,9.27615600
10396,Particelle sospese PM2.5,µg/m³,674,Monza v.Machiavelli,162,MB,Monza,45.57411700,9.26380800
9890,PM10 (SM2005),µg/m³,674,Monza v.Machiavelli,162,MB,Monza,45.57411700,9.26380800
6910,PM10 (SM2005),µg/m³,542,Meda v. Gagarin,222,MB,Meda,45.66099200,9.16022500
10282,Ozono,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,45.47834700,9.23166700
20773,Particelle sospese PM2.5,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,45.52647322,9.51599100
6908,PM10 (SM2005),µg/m³,531,Pioltello Limito,114,MI,Pioltello,45.48363242,9.32736196
5710,Ozono,µg/m³,544,Cormano v. Edison,153,MI,Cormano,45.54759700,9.16698300
5551,Biossido di Azoto,µg/m³,548,Milano v.Senato,118,MI,Milano,45.47050100,9.19746075
9999,Biossido di Azoto,µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,45.52647322,9.51599100
5725,Ozono,µg/m³,528,Milano Verziere,116,MI,Milano,45.46334886,9.19532511
10273,PM10 (SM2005),µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,45.47834700,9.23166700
20772,PM10 (SM2005),µg/m³,683,Cassano d'Adda 2-v.Milano,133,MI,Cassano d'Adda,45.52647322,9.51599100
20529,Particelle sospese PM2.5,µg/m³,501,Milano v.Marche,129,MI,Milano,45.49631883,9.19093444
5517,Biossido di Azoto,µg/m³,514,Rho via Buon Gesù,152,MI,Rho,45.52342919,9.04460250
5507,Biossido di Azoto,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,45.53476819,9.23610903
10320,PM10 (SM2005),µg/m³,548,Milano v.Senato,118,MI,Milano,45.47050100,9.19746075
17122,Particelle sospese PM2.5,µg/m³,548,Milano v.Senato,118,MI,Milano,45.47050100,9.19746075
5609,Biossido di Azoto,µg/m³,606,San Giuliano Milanese via Milano,97,MI,San Giuliano Milanese,45.39619767,9.28269897
10283,Particelle sospese PM2.5,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,45.47834700,9.23166700
5717,Ozono,µg/m³,531,Pioltello Limito,114,MI,Pioltello,45.48363242,9.32736196
5532,Biossido di Azoto,µg/m³,529,Cinisello Balsamo v.Lincoln,149,MI,Cinisello Balsamo,45.55232831,9.22776572
5520,Biossido di Azoto,µg/m³,517,Turbigo,141,MI,Turbigo,45.52655611,8.73650211
6912,PM10 (SM2005),µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,45.46242074,8.88021388
5531,Biossido di Azoto,µg/m³,528,Milano Verziere,116,MI,Milano,45.46334886,9.19532511
5534,Biossido di Azoto,µg/m³,531,Pioltello Limito,114,MI,Pioltello,45.48363242,9.32736196
10279,Biossido di Azoto,µg/m³,705,Milano Pascal Città Studi,122,MI,Milano,45.47834700,9.23166700
5554,Biossido di Azoto,µg/m³,551,Arconate v. De Gasperi,182,MI,Arconate,45.54852147,8.84732669
5721,Ozono,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,45.28196356,8.98857592
5548,Biossido di Azoto,µg/m³,545,Motta Visconti v. De Gasperi,100,MI,Motta Visconti,45.28196356,8.98857592
5542,Biossido di Azoto,µg/m³,539,Milano v.Liguria,115,MI,Milano,45.44386047,9.16794489
20358,Particelle sospese PM2.5,µg/m³,504,Sesto San Giovanni v. Cesare da Sesto,139,MI,Sesto San Giovanni,45.53476819,9.23610903
20596,Particelle sospese PM2.5,µg/m³,517,Turbigo,141,MI,Turbigo,45.52655611,8.73650211
10352,PM10 (SM2005),µg/m³,517,Turbigo,141,MI,Turbigo,45.52655611,8.73650211
5504,Biossido di Azoto,µg/m³,501,Milano v.Marche,129,MI,Milano,45.49631883,9.19093444
5547,Biossido di Azoto,µg/m³,544,Cormano v. Edison,153,MI,Cormano,45.54759700,9.16698300
20429,PM10 (SM2005),µg/m³,501,Milano v.Marche,129,MI,Milano,45.49631883,9.19093444
5707,Ozono,µg/m³,551,Arconate v. De Gasperi,182,MI,Arconate,45.54852147,8.84732669
5549,Biossido di Azoto,µg/m³,546,Magenta v. F. Turati,137,MI,Magenta,45.46242074,8.88021388
6956,PM10 (SM2005),µg/m³,528,Milano Verziere,116,MI,Milano,45.46334886,9.19532511
